,0,1,2
const,5.2086,6.4795,2.6096
PC1,1.2835,0.9249,0.6759
PC2,0.9687,0.9708,0.9814
PC3,1.1515,0.8851,1.0642
22-25,1.2104,1.2869,1.1036
26-30,0.6683,0.9279,1.0209
