,0,1
const,2.5677,-0.5895
IDX_TRAD,-0.5929,-1.4116
IDX_FIN,0.3822,1.2866
IDX_IMPORTANCE,-0.4624,-0.1014
22-25,0.0038,0.0009
18-21,-0.4004,-0.0444
