fintech_type
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
nessuno
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
risparmio_budgeting
oval)
nessuno
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
nessuno
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
invest_trading
etoro
degiro)
nessuno
nessuno
nessuno
risparmio_budgeting
oval)
nessuno
nessuno
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
nessuno
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
nessuno
nessuno
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
nessuno
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
nessuno
invest_trading
etoro
degiro)
nessuno
nessuno
risparmio_budgeting
oval)
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
conti_pagamenti
n26
hype
satispay)
nessuno
nessuno
nessuno
nessuno
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
invest_trading
etoro
degiro)
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
risparmio_budgeting
oval)
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
nessuno
conti_pagamenti
n26
hype
satispay)
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
nessuno
credito_bnpl
credito_bnpl
credito_bnpl
credito_bnpl
nessuno
nessuno
conti_pagamenti
n26
hype
satispay)
conti_pagamenti
n26
hype
satispay)
nessuno
risparmio_budgeting
