group1,group2,meandiff,p-adj,lower,upper,reject
18-21,22-25,-0.0429,0.2942,-0.1102,0.0245,False
18-21,26-30,-0.144,0.0,-0.2091,-0.0789,True
22-25,26-30,-0.1011,0.0009,-0.1665,-0.0357,True
