group1,group2,meandiff,p-adj,lower,upper,reject
18-21,22-25,-0.0424,0.3173,-0.1111,0.0264,False
18-21,26-30,0.2143,0.0,0.1478,0.2807,True
22-25,26-30,0.2567,0.0,0.1899,0.3234,True
